Dominant_Topic,Perc_Contribution,Topic_Keywords,Page
2.0,0.7573,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",grain_boundaries.txt
11.0,0.3286,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",outgassing.txt
14.0,0.5377,"economic, government, law, public, market, company, international, united_states, state, countries",business_process_outsourcing.txt
10.0,0.375,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Bush_hammer.txt
10.0,0.7231,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Keg.txt
12.0,0.4262,"city, university, state, area, park, national, school, road, cities, urban",Built-up_area.txt
14.0,0.4163,"economic, government, law, public, market, company, international, united_states, state, countries",Competition.txt
7.0,0.7773,"philosophy, theory, social, human, world, language, political, nature, history, thought",Master–slave_morality.txt
7.0,0.8209,"philosophy, theory, social, human, world, language, political, nature, history, thought",Différance.txt
11.0,0.4302,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",Microbial_loop.txt
13.0,0.5434,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Transmission_tower.txt
12.0,0.4419,"city, university, state, area, park, national, school, road, cities, urban",Harare.txt
2.0,0.4371,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",sunlight.txt
11.0,0.1764,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",Mesotrophic_soil.txt
0.0,0.3753,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Cyanobacteria.txt
3.0,0.8222,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",granulomas.txt
2.0,0.2266,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",CERES.txt
14.0,0.4253,"economic, government, law, public, market, company, international, united_states, state, countries",1970s_energy_crisis.txt
5.0,0.6104,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",EKOenergy.txt
10.0,0.4175,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Wrap_rage.txt
5.0,0.2761,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",thermal_treatment.txt
5.0,0.2552,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Non-food_crop.txt
2.0,0.6245,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",electrolytic_capacitors.txt
8.0,0.4815,"data, computer, technology, media, information, company, software, design, system, digital",Speech_recognition.txt
6.0,0.4085,"university, work, art, american, published, book, time, history, new_york, life",Robert_E._Machol.txt
12.0,0.2968,"city, university, state, area, park, national, school, road, cities, urban",buildings.txt
14.0,0.5726,"economic, government, law, public, market, company, international, united_states, state, countries",Scottish_Government.txt
5.0,0.4553,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil","Federal_Ministry_for_Environment,_Nature_Conservation_and_Nuclear_Safety.txt"
14.0,0.7041,"economic, government, law, public, market, company, international, united_states, state, countries",European_Parliament.txt
9.0,0.3265,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",acetogenesis.txt
0.0,0.3917,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Cunninghamella.txt
11.0,0.4318,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",Injection_well.txt
7.0,0.4424,"philosophy, theory, social, human, world, language, political, nature, history, thought",Zygmunt_Bauman.txt
4.0,0.4207,"world, country, population, war, government, people, state, national, europe, largest",20th_century.txt
7.0,0.7467,"philosophy, theory, social, human, world, language, political, nature, history, thought",Speculative_realism.txt
0.0,0.6916,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Speciation.txt
3.0,0.6942,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Molecular_genetics.txt
1.0,0.301,"research, management, social, systems, design, development, science, system, information, process",Degrees.txt
14.0,0.679,"economic, government, law, public, market, company, international, united_states, state, countries",Great_Depression.txt
13.0,0.4182,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Driverless_car.txt
2.0,0.2935,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",CRC_Handbook_of_Chemistry_and_Physics.txt
10.0,0.4224,"made, material, materials, process, water, concrete, high, glass, plastic, wood",alcoholic_beverages.txt
4.0,0.6533,"world, country, population, war, government, people, state, national, europe, largest",Haiti.txt
0.0,0.3145,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Henry_Gleason.txt
7.0,0.5145,"philosophy, theory, social, human, world, language, political, nature, history, thought",Angst.txt
13.0,0.5551,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Ion_thruster.txt
14.0,0.3732,"economic, government, law, public, market, company, international, united_states, state, countries",Public_Health_Act_1875.txt
5.0,0.5821,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",World_energy_consumption.txt
1.0,0.4329,"research, management, social, systems, design, development, science, system, information, process",Pareto_efficiency.txt
5.0,0.4732,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Embodied_energy.txt
5.0,0.4612,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Biodiversity_Action_Plans.txt
1.0,0.1292,"research, management, social, systems, design, development, science, system, information, process",Supply_management.txt
14.0,0.3692,"economic, government, law, public, market, company, international, united_states, state, countries",persons_with_reduced_mobility.txt
7.0,0.7017,"philosophy, theory, social, human, world, language, political, nature, history, thought",Of_Grammatology.txt
12.0,0.6218,"city, university, state, area, park, national, school, road, cities, urban",Penn_State_University.txt
7.0,0.7114,"philosophy, theory, social, human, world, language, political, nature, history, thought",Hilary_Putnam.txt
3.0,0.4684,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Neuroprosthetics.txt
12.0,0.2643,"city, university, state, area, park, national, school, road, cities, urban",Cloverleaf.txt
14.0,0.2752,"economic, government, law, public, market, company, international, united_states, state, countries",1979_energy_crisis.txt
9.0,0.4456,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",lustrous.txt
7.0,0.8376,"philosophy, theory, social, human, world, language, political, nature, history, thought",Philosophy.txt
14.0,0.4286,"economic, government, law, public, market, company, international, united_states, state, countries",Indiegogo.txt
0.0,0.81,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Crustacean_larvae.txt
2.0,0.206,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",caustic.txt
10.0,0.3728,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Road_slipperiness.txt
3.0,0.5001,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Fermentation.txt
7.0,0.6915,"philosophy, theory, social, human, world, language, political, nature, history, thought",Erich_Fromm.txt
7.0,0.5474,"philosophy, theory, social, human, world, language, political, nature, history, thought",revolution.txt
13.0,0.7477,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Motorized_bicycle.txt
5.0,0.3332,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",biorefining.txt
12.0,0.5104,"city, university, state, area, park, national, school, road, cities, urban",Motorcycle_lane.txt
8.0,0.6034,"data, computer, technology, media, information, company, software, design, system, digital",Brand.txt
1.0,0.6652,"research, management, social, systems, design, development, science, system, information, process",Collaborative_method.txt
11.0,0.429,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",sequencing_batch_reactor.txt
12.0,0.3888,"city, university, state, area, park, national, school, road, cities, urban",public_education.txt
3.0,0.3492,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",longevity.txt
7.0,0.5589,"philosophy, theory, social, human, world, language, political, nature, history, thought",Mohism.txt
0.0,0.4599,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Meroplankton.txt
9.0,0.5466,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",didymium.txt
9.0,0.6542,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",silica.txt
6.0,0.3604,"university, work, art, american, published, book, time, history, new_york, life",G._Evelyn_Hutchinson.txt
2.0,0.4908,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Color.txt
5.0,0.2089,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Growth_management.txt
5.0,0.3718,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Global_Footprint_Network.txt
0.0,0.439,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Cyclopoida.txt
7.0,0.7424,"philosophy, theory, social, human, world, language, political, nature, history, thought",aporia.txt
7.0,0.8611,"philosophy, theory, social, human, world, language, political, nature, history, thought",epistemology.txt
6.0,0.4557,"university, work, art, american, published, book, time, history, new_york, life",Raymond_Unwin.txt
4.0,0.2716,"world, country, population, war, government, people, state, national, europe, largest",Dutch.txt
4.0,0.6289,"world, country, population, war, government, people, state, national, europe, largest",UK.txt
7.0,0.555,"philosophy, theory, social, human, world, language, political, nature, history, thought",Henri_Lefebvre.txt
1.0,0.3439,"research, management, social, systems, design, development, science, system, information, process",oekology.txt
0.0,0.2719,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Auxospore.txt
9.0,0.279,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",depleted_uranium.txt
9.0,0.3557,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Primary_nutritional_groups.txt
12.0,0.5032,"city, university, state, area, park, national, school, road, cities, urban",Shanghai.txt
12.0,0.6244,"city, university, state, area, park, national, school, road, cities, urban",Lachine_Canal.txt
10.0,0.4515,"made, material, materials, process, water, concrete, high, glass, plastic, wood",List_of_stone.txt
10.0,0.5217,"made, material, materials, process, water, concrete, high, glass, plastic, wood",pozzolan.txt
14.0,0.4129,"economic, government, law, public, market, company, international, united_states, state, countries",Atomic_Energy_Licensing_Board.txt
1.0,0.4904,"research, management, social, systems, design, development, science, system, information, process",Public.txt
